a_作者,b_被收藏数,c_最近更新作品,d_作品状态,e_作品字数,f_最后更新时间,g_作者所发送红包数,h_小说完本数,i_小说连载数,j_小说暂停数
天野,173,《你骗了我的小心肝》,连载,69712,2020-03-23 19:43:57,1292,5,10,0
我要重写,53,《虫族之在我不知道的时候我成了雄虫》,连载,433748,2022-03-12 08:07:36,0,0,1,0
温知玉,112,《星际模范夫妻守则》,连载,36050,2022-03-12 23:19:09,23,8,4,0
鑫颜,3,《我*******你》,完结,184347,2009-01-17 21:52:31,0,2,0,0
随缘发电,133,《我的成员比你的朋友都多[娱乐圈]》,连载,35439,2020-10-29 21:00:00,40,1,1,1
Angerboda,60,《刀剑乱舞刀剑万事屋》,连载,577760,2019-03-04 10:02:21,0,0,1,0
有一家杂货铺,24,《温夏日记》,连载,4369,2017-07-05 20:00:00,0,2,5,0
秋渡鸟,58,《钻石王牌A ROAD》,连载,216158,2022-03-08 14:39:44,0,1,14,0
飞廉,18,《重生之没落名媛》,暂停,148286,2014-01-11 21:30:00,0,1,0,3
水月婉然,4,《快穿之恶魔系统》,连载,109159,2020-08-03 14:11:37,0,1,1,0
花山,71,《审神者今天也在试图修复刀子精》,连载,417906,2022-03-13 06:00:00,93,0,5,0
明灯如昼,816,《总有人以为我被强取豪夺了》,连载,18753,2021-12-08 16:55:14,1,0,8,0
元六九,12,《【剑三】与妻书》,连载,17896,2016-11-14 13:51:59,0,1,2,0
千丝绕青笛,14,《斗罗之媳妇儿是毒医怎么破》,连载,67616,2016-11-25 21:05:45,0,0,1,0
檐扉,611,《[综]穿谁谁性转》,完结,158257,2021-09-26 03:21:05,44,17,4,0
暮雨兮兮,1902,《日*》,完结,2187,2021-12-01 01:24:11,0,12,5,0
月霁光风,42,《我养大了男主当孝子（年代）》,完结,100096,2022-03-11 22:10:01,1,9,26,0
风醒落,1167,《我们宗主会游戏技能》,完结,306800,2022-01-10 20:59:24,214,16,4,0
任凝儿,151,《快穿文推荐》,连载,69661,2022-03-08 21:06:55,0,0,8,0
阳光下的星星,51,《千橘与大我》,连载,3756,2021-12-01 17:25:54,0,0,4,0
久成荒海,132,《穿越当天我被中也揍了》,连载,227601,2022-02-12 16:22:13,3,1,12,2
过陵子,607,《一觉醒来师尊入魔了》,连载,276816,2022-03-13 17:59:59,48,14,12,0
猫炒饭,601,《亡者美人空降深渊游戏[无限流]》,完结,731798,2022-03-08 15:52:49,588,3,8,0
商砚,2363,《你是谁的小鹿呀》,完结,147933,2022-02-27 23:20:06,835,8,2,0
长夜白兮,54,《白月光黑化之后》,完结,506733,2020-11-19 18:00:00,0,2,0,0
林中萤火,75,《替身女配在选秀当国宝[穿书]》,连载,178941,2021-07-09 01:00:00,19,2,8,0
时祈,1857,《骤雨》,连载,381197,2022-03-13 00:08:05,2730,12,11,0
迷雾恋空,159,《[诡秘之主/世正]金刚石小姐表示她没想过要私奔》,连载,15743,2020-10-06 20:14:14,0,2,5,0
唐一衡,103,《［*******者》,暂停,1641,2021-11-11 11:11:11,0,0,1,9
我有解药,4579,《作精美人在恋综爆红了》,完结,707373,2022-03-09 23:15:00,1260,17,15,0
似沂,140,《今天病柱依然在线养病》,完结,159141,2021-12-01 22:25:43,16,2,2,0
孤天独鹤,144,《带着魔女小屋》,连载,3780,2022-02-23 08:00:00,0,0,10,0
大碗菜,427,《快穿之虐渣手札》,完结,353577,2022-02-16 13:01:29,60,3,2,0
蝶千雅,477,《[全职]一姐风云录》,连载,138615,2022-03-11 21:00:00,81,21,15,0
岂顾,27,《[血骑 枢零  ]变心》,完结,245085,2020-05-03 21:18:35,0,3,0,0
独立桥头,6,《好想为君绾长发》,连载,19049,2021-11-24 17:17:01,1,5,1,0
Colby小狗,530,《恶毒男配改造计划（快穿）》,连载,45869,2022-03-13 00:00:00,265,3,1,0
愚昧世界,13,《[网王]幸之我命》,连载,222409,2013-02-23 23:07:54,0,2,6,1
骑猪上清华,2383,《囚娇》,完结,397378,2022-02-25 18:34:59,1363,9,10,0
镜里看花,52,《[滑头鬼之孙]彼此》,连载,144827,2012-03-06 19:14:37,0,2,2,1
初岁,68,《复仇之车神搞快点》,完结,91284,2020-08-05 17:33:20,76,7,1,0
柳西风,27,《柜门被我一脚踹开（快穿）》,连载,123085,2020-07-18 18:00:00,3,0,3,4
哈勃跳远弹,75,《[猎人]旷野之息又更新了一个DLC》,连载,715417,2022-03-09 16:56:55,0,0,2,0
桃小堇,109,《懒惰的妖怪和勤劳的道士》,连载,16275,2020-06-07 21:59:00,46,9,4,0
易桃,34,《大阿语[女尊]》,完结,462982,2022-01-31 23:00:00,18,5,6,0
坛宙,142,《重生成猫后我靠咸鱼爆红了》,连载,100396,2022-01-24 23:45:39,253,3,12,1
芊纤儿,106,《捡来的徒弟白切黑了》,完结,347125,2022-01-08 17:44:15,11,14,4,4
洛塔猫,1441,《发小儿》,连载,275728,2015-05-14 19:58:04,0,32,5,1
我本似我,105,《为爹咪赚取一百亿》,连载,540685,2022-03-11 23:23:15,0,0,9,0
西姐,109,《六十年代小村姑》,连载,212971,2017-11-10 23:45:02,13,3,1,0
猫云,38,《横滨怪盗不懂人心》,连载,103832,2021-05-16 20:35:20,0,1,3,0
一丛青荇,40,《怒晴湘西之我真不是神棍》,连载,249870,2022-03-12 13:30:39,0,0,2,0
金小丑,28,《小*******腐》,完结,183385,2022-02-07 18:15:09,0,8,1,0
不知画,46,《蓝火红莲》,完结,295237,2022-02-22 09:05:17,2,4,3,0
若若的小猪,62,《你*******吻》,连载,67047,2013-09-19 22:52:57,0,8,3,2
Chesterboxs,153,《[*******文》,连载,958,2021-06-25 11:01:02,0,1,22,0
荣千树,624,《藏不住的喜欢》,连载,19290,2022-03-13 18:00:00,301,6,5,0
薇拉ME,386,《天使之城（单元向，系列文）》,连载,99766,2022-01-11 21:11:24,0,28,4,0
三十载,1215,《渣了帝国元帅后我怀了崽》,连载,261948,2022-02-10 16:54:19,1709,18,6,1
禾理,523,《路人女配，恋综爆红》,连载,167944,2022-03-13 00:49:02,11,3,5,0
月牙儿啊,16,《[鬼灭]生生不息》,连载,51021,2022-02-19 12:59:38,0,2,7,0
那云,40,《神雕重生之郭芙》,连载,253807,2009-02-22 19:25:06,0,0,1,1
可乐喵,196,《[SS/HP]生命的终点》,完结,601476,2020-10-12 16:30:53,0,13,0,0
长眠温,100,《[综英美]物种不同如何恋爱》,连载,422768,2021-07-12 06:00:01,0,0,4,0
道系人生,2251,《被公主带走后我成了祸水》,连载,175725,2022-03-13 21:00:00,14,16,14,1
鹤见薰,750,《不和5t5结婚很难收场》,连载,202941,2022-02-11 00:00:00,29,5,14,1
pk杯具,19,《重生之未来小农民》,连载,151918,2014-04-07 18:55:26,0,1,1,0
大婉儿,269,《追你那么久》,完结,284033,2022-02-12 16:32:13,64,11,13,0
桃弋,28,《入梦体质》,完结,47264,2020-06-06 10:00:00,17,9,4,0
小C是小C,4,《武林天后》,连载,9147,2019-04-23 09:54:28,0,2,2,1
风花月叶,647,《秦时明月之流歌》,连载,68704,2022-03-13 03:22:38,0,1,8,4
妙七,18,《夜空中最亮的星》,完结,171780,2014-04-30 12:20:00,0,5,0,0
七栖酱,1441,《人设崩塌后我c位出道了[古穿今]》,连载,438945,2022-03-13 11:45:27,108,6,7,0
木云木夕,28,《我靠捉鬼横行娱乐圈》,连载,256090,2022-03-12 21:39:37,28,4,4,0
钦匀,1205,《豪门真千金混吃等死后》,连载,213110,2022-03-12 23:17:36,1099,11,11,3
兼职老王,169,《当渣受作死后［快穿］》,完结,312911,2018-11-26 21:49:44,0,2,1,0
拂晓夜,26,《许我三世情长（下）》,连载,388095,2021-03-01 22:19:28,0,3,2,0
一水竹陌,149,《[HP]龙族小剧场》,连载,97849,2016-08-24 23:04:54,0,9,3,0
抹茶啊,2435,《娇里娇气[快穿]》,完结,363940,2019-03-21 21:25:40,3026,4,4,0
洛兮兮兮,2529,《七个时空的我都穿来了》,连载,199833,2022-03-06 23:51:40,2798,6,8,0
似刀,49,《3*******3》,连载,35132,2016-09-25 16:20:40,13,0,6,0
沐今夏,1325,《和前男友结婚了》,连载,48694,2021-07-27 00:10:57,838,12,6,0
方良,58,《[*******！》,连载,114887,2018-05-27 21:39:35,0,1,10,0
苏颜舞,9,《穿越叫我将军大人》,连载,117991,2020-02-17 14:31:22,1,1,2,0
里予野犬,11,《马甲文扫文推文合集》,连载,38314,2021-12-02 00:34:52,0,0,1,0
苏迤,401,《黑心女配拿了好人剧本[快穿]》,完结,1137339,2022-03-03 11:59:24,617,4,6,0
素手引灯,291,《当纲吉成为女爱豆》,连载,132245,2022-01-19 09:03:13,77,3,6,0
百花月中眠,31,《少年歌行之春风渡（无双bg）》,连载,5073,2021-11-17 16:54:43,0,0,2,0
本先生,132,《关于我在恐怖游戏里磕cp的事》,连载,37621,2022-03-13 18:00:00,0,7,3,0
小甜包,196,《星光璀璨，与你同行》,连载,32,2020-01-14 23:03:34,2,5,3,1
摇曳自西东,323,《[综]穿成唐僧的妈怎么破？》,连载,583893,2021-08-17 10:40:20,0,1,1,0
风听澜,268,《穿成狗血文男主他爸（女穿男）》,连载,344423,2022-03-13 16:02:29,0,2,7,0
紫凝妖,232,《月*******）》,连载,210138,2010-11-10 12:17:06,5,1,3,0
白鹤寅华,14,《穿越后我成了天才拳击手》,连载,43241,2022-03-13 12:00:00,0,1,3,0
莫喃,18,《惊*******室》,连载,30898,2021-05-17 22:30:14,15,3,5,0
笔黛生花,13,《重生后与阎王绑定灵力》,连载,25679,2021-12-26 21:00:00,2,2,2,0
漠洲,1300,《穿越后允许合法成精[综漫]》,完结,343499,2020-11-06 22:33:09,48,24,1,1
郝言,19,《光明在案，你予明天》,连载,23004,2020-04-18 09:00:00,88,2,2,0
三鲸四钊,98,《酒厂废稿角色人气卧底再就业计划》,连载,52024,2022-03-13 03:03:26,0,2,23,0
程吉吉,15,《闷骚女的爱情馅饼》,完结,116277,2019-11-03 15:00:00,0,6,3,0
秋筠,1039,《我靠算卦横扫豪门》,完结,363568,2022-01-10 18:51:04,5,8,2,0
泸沽虾,536,《插翅难逃》,完结,270154,2022-02-25 16:17:29,127,5,7,0
两壶,99,《神笔天后[娱乐圈]》,连载,142587,2018-05-23 14:45:02,174,1,5,0
小野小姐,19,《修*******情》,连载,29502,2017-01-29 21:20:33,1,1,6,0
吃鸡,598,《钓系仙君又在装弱了[穿书]》,连载,245782,2022-03-13 21:17:40,164,1,6,0
船锚,296,《双失忆后我和老攻热恋了》,连载,38049,2022-03-13 19:16:40,638,4,10,0
绿蜡,8048,《小妞》,暂停,19038,2020-06-27 09:45:23,2785,17,5,3
荼蘼夫人,2326,《带着超市穿七零》,连载,70805,2022-03-13 11:44:14,185,9,4,2
舒墨颜,370,《[暮光]从现在开始吃素》,完结,187243,2018-11-26 22:46:30,3,7,2,0
常柑,101,《[综英美]穿到哥谭后只想回家》,连载,290546,2022-03-13 18:14:59,23,2,8,1
蓁澄,95,《因*******）》,连载,6259,2021-01-15 14:25:56,110,10,5,0
千里不留行,106,《从*******）》,完结,184453,2019-05-26 22:19:03,0,17,3,2
顾绯玥,35,《你*******途》,连载,127384,2020-10-09 20:58:06,15,11,1,0
离边,1203,《穿成虐文女主后我虐哭男主了》,连载,7158,2022-02-18 21:00:00,137,4,5,0
耳不语,25,《服软》,连载,48115,2018-07-18 21:35:45,1,5,3,1
边路,3487,《主角要有主角的样子》,连载,20462,2020-02-15 21:09:52,437,10,6,0
清水至上,117,《（*******帐》,连载,33716,2019-11-15 17:25:32,0,5,12,0
小王女,21,《快*******设》,完结,296740,2021-12-09 23:12:10,71,5,3,0
兮归,10,《逼你出墙》,连载,2818,2010-11-11 22:40:00,0,3,2,1
焚赫,1234,《我在末日当异形噩梦[女a男o]》,连载,25463,2022-03-13 22:38:16,72,4,5,1
肥咕,78,《［网王+柯南］她是唐将》,暂停,118301,2022-01-26 18:48:48,0,0,5,3
花凝笙,21,《此去经年》,完结,266704,2019-01-22 14:06:47,0,4,0,0
专注报社的南风,106,《[金光+霹雳]无忆之忆》,连载,56781,2022-02-02 10:09:46,0,5,9,0
吓傻你的小妖精,124,《蛇*******论》,完结,147066,2015-10-17 12:00:00,0,3,0,0
菠萝姑娘,18,《老九门之琉璃情花绕（张副官）》,连载,127588,2017-03-02 13:36:01,0,0,1,0
悠扬萱草,1246,《那时花开》,完结,2069,2020-11-27 15:13:28,43,11,0,1
莫莉亚,594,《本丸在现世》,连载,362039,2022-03-11 01:32:40,68,15,35,1
旅者的斗篷,288,《嫁给天子后》,完结,257672,2022-03-09 20:57:27,6,4,5,0
非话,12,《陈情令之想活着》,连载,166328,2022-01-11 16:47:59,0,0,2,0
扇舞下的机锋,1468,《[hp]漫漫长夜》,连载,22372,2021-07-12 22:20:16,18,11,6,0
苹桉果,23,《我要治愈你》,连载,83898,2015-11-19 01:55:00,0,2,4,2
苏珥,46,《爱情急刹车》,完结,184858,2014-04-15 16:17:01,0,12,0,0
吉吉玉,25,《[重生]男神偷窥手册》,完结,118807,2021-04-14 11:51:17,5,4,1,0
素绫墨研,285,《[明日方舟]乙女解剖》,完结,15762,2021-05-10 14:00:00,6,17,17,5
露浓,516,《璃月神兵谱》,连载,45478,2021-10-20 04:01:11,0,24,13,6
七夜忘情,6710,《带着空间去修行（金莲篇）》,完结,316887,2022-03-09 08:07:21,61,14,2,2
四沂,1344,《别洗脑我了》,连载,117602,2022-03-07 22:01:28,3277,21,3,0
水镜妆,21,《尔若有情，守得云开见晴（延禧攻略）》,完结,63655,2018-09-29 11:34:56,0,4,2,0
舒漾w,1769,《你午睡了吗》,连载,154109,2020-07-18 00:40:32,871,2,3,0
那焉,241,《晨光搁浅》,完结,180591,2010-11-17 13:20:38,0,3,1,0
金粟,1,《作死糙汉追妻路》,完结,265911,2021-07-04 20:06:57,10,5,4,0
忱恪,10,《系统让我去救人》,连载,26932,2021-12-03 11:00:00,6,4,11,0
壳小刀,9,《明里暗里喜欢你》,暂停,26633,2021-07-13 20:35:29,27,13,0,4
落十七,196,《西子药铺》,完结,290124,2020-12-17 21:35:02,46,5,6,2
反射狐,841,《哥哥的番外》,连载,14,2022-03-10 16:55:39,2339,11,9,0
青黛蓝,12,《谋爱》,连载,116725,2015-05-14 15:30:00,0,3,3,1
白熊与羊驼,91,《工具人阵线联盟》,连载,332822,2022-01-02 00:00:01,73,8,4,0
暮雪初霁,89,《（银魂X刀剑乱舞）银さんの本丸の日常》,连载,136271,2018-07-31 19:00:00,0,2,6,0
谷肆,497,《第四象限》,完结,397367,2018-09-02 18:18:44,0,3,0,0
啊黑,570,《霸道精灵爱上鱼》,连载,95343,2022-03-10 22:13:36,976,6,12,0
downingsong霍唐唐嫣,61,《相*******）》,连载,192313,2016-09-22 14:52:22,0,6,1,1
云上盹盹,331,《我靠养崽抽卡爆红了[穿书]》,连载,238118,2022-02-21 02:04:28,230,1,6,0
酒三迭,87,《 [海贼王]与玲玲的冒险之路》,连载,31969,2022-03-08 22:44:27,0,6,22,0
可惜是个变态,192,《猎*******略》,连载,188036,2017-08-25 07:12:44,0,0,8,0
绿子,100,《妖艳影后》,完结,307424,2019-12-03 21:11:25,12,6,4,1
江城以西,292,《小小姐每天都在恐婚》,连载,470486,2022-03-12 20:22:59,226,2,4,0
凌鸾蝶笙,172,《一厢情愿》,连载,252482,2019-06-29 18:33:51,0,3,2,0
雪刀,3950,《御厨的小饭馆[美食]》,连载,176226,2022-03-13 18:00:00,1372,14,14,0
基本演绎,483,《位面恶魔在虫族被万千宠爱的日子》,完结,287398,2021-08-24 13:14:32,298,4,4,0
九月长生,125,《特殊身份》,连载,107026,2020-01-03 17:11:24,157,1,2,0
歪歪是圆的,25,《张*******}》,连载,2740,2021-11-15 16:08:28,0,5,11,0
曼汐颜,47,《[全职高手]葳蕤》,连载,261221,2021-04-20 17:57:55,4,11,13,3
红框眼镜,5,《再回伦敦》,连载,10786,2014-12-18 16:39:00,0,2,3,0
暇心观妙君,18,《柯南之组织里的心理咨询师》,连载,333361,2022-03-13 19:43:24,0,0,1,0
无糖苏打,22,《我攻略了男主五次》,完结,293493,2022-03-04 20:38:40,2,4,6,0
橘徕服兮,884,《被全世界宠爱的你[综]》,完结,82582,2019-03-09 18:41:29,53,25,17,0
澹澹,1042,《小媳妇》,完结,314021,2022-03-01 18:14:29,1137,11,6,1
万年晋江受,117,《重生之末世系统GL》,完结,216290,2018-09-30 21:34:12,0,3,3,1
梦里梧桐,369,《如是观(清穿)》,完结,292066,2019-12-02 20:45:57,18,7,0,1
椿筱,605,《等春来》,连载,160072,2022-02-11 21:16:14,168,13,8,1
邢紫紫,7,《魔修的成仙路》,连载,3382,2020-03-24 15:17:17,0,1,2,0
万古如长夜,325,《联邦执政官逼我入赘（ABO）》,连载,42318,2022-02-03 01:37:05,0,1,3,0
初心是新,396,《女帝重生复仇记》,连载,19734,2022-03-10 20:34:52,1,16,2,5
作者angelina,453,《我想成为你的男人》,连载,72956,2013-04-27 13:36:59,0,0,3,0
金里,2426,《[我的英雄学院]个性身娇体软》,完结,31664,2021-01-20 18:37:35,6315,14,1,0
木亦云,54,《末世重生之火影系统》,连载,98554,2019-11-04 11:23:28,0,3,3,0
风吹南方,1299,《社恐穿书成大佬的坐骑人鱼》,完结,382891,2022-01-26 15:32:14,96,10,4,0
白小也,1122,《温柔攻陷》,连载,17892,2022-03-12 18:00:00,271,33,6,0
绵绵月,2877,《在末世的大佬日常》,连载,114289,2022-02-20 16:47:50,4046,11,6,0
逍遥生君子意,94,《[综]刀剑托儿所》,连载,74373,2018-12-24 21:30:56,0,0,1,1
梁九津,152,《红楼小记》,连载,6796,2021-10-29 17:54:33,0,12,5,0
不识逆途,29,《宠物小精灵-远航荼蘼》,连载,274466,2020-09-20 00:22:10,0,0,1,0
辰花夜,476,《只有我和我的组织》,连载,139900,2022-03-13 06:00:00,263,4,17,0
墨北,991,《玩偶熊》,完结,8030,2020-11-09 19:44:39,9,5,3,0
星_雨,48,《（延禧攻略）皇太子日记（又名：魏氏姐妹附凤记）》,连载,54798,2019-08-02 16:18:56,0,0,3,0
枝上雨,292,《[快穿]我的主角光环呢？？》,连载,62035,2021-03-16 13:49:39,0,6,6,0
浅色果冻,50,《陪*******年》,连载,316572,2022-02-17 22:36:51,13,10,2,0
平山阑,871,《且道无常》,完结,27674,2021-10-15 13:38:16,13,4,4,1
粉红青春逗,12,《[全职高手]没有荣耀的世界》,连载,269903,2020-10-29 21:03:21,0,0,1,1
简装书,128,《[*******梦》,完结,57691,2013-01-30 12:56:53,0,4,0,0
皮皮佶,11,《[主刀剑乱舞]男审当自强》,连载,109625,2018-04-20 12:03:47,0,0,1,0
Yufraysy,58,《[斗罗]武魂是阴阳师》,连载,123637,2022-02-27 14:34:50,0,0,12,0
爱平爱桐的小鱼,206,《HP淡定人生》,连载,428084,2015-06-17 21:31:14,0,4,1,0
_朗姆可乐,51,《和影后前任HE了[娱乐圈]》,连载,47272,2020-03-11 23:57:20,67,10,3,0
宝剑双蛟龙,91,《[猫鼠]不老青山雪白头》,连载,386004,2011-09-20 20:55:03,0,1,1,0
易lllking,15,《[韩娱BTS]御守》,连载,89529,2020-08-10 16:38:17,0,0,4,0
小雪,5,《忆*》,暂停,27429,2009-07-27 23:14:12,0,4,0,3
流年落灯花,52,《HP魔法叫不醒》,连载,99213,2021-12-27 23:19:46,0,1,4,0
木夕朝兮,32,《他不配[男二上位]》,连载,7046,2022-03-13 18:00:00,2,12,4,1
风过千痕,231,《自我攻略守则》,连载,30572,2021-02-28 04:16:02,29,11,5,0
八酥糖,63,《扑进我怀里》,连载,123850,2020-08-21 07:22:33,108,0,2,0
字如卿,141,《南阳城纪事》,连载,67481,2019-10-19 19:47:17,0,1,1,0
米兰麋鹿,185,《扭曲的王女控[星际ABO]》,连载,103569,2021-10-19 02:31:55,18,3,10,2
oueki,1555,《异界王者的退休生涯》,连载,2874,2020-01-04 22:52:06,35,25,17,1
六月六,632,《[*******方》,连载,60885,2011-01-31 14:38:10,0,5,1,0
米戎,504,《日向雏田的忧郁》,连载,158533,2013-01-21 14:37:26,0,6,3,2
树奈奈,7,《太子的娇软红娘》,连载,357031,2022-03-11 00:00:00,2,1,3,0
未未夏,11,《暮色》,连载,96286,2020-08-05 04:31:28,20,2,3,0
喜欢玫瑰,155,《祸水她不走心[快穿]》,连载,332829,2021-11-29 06:02:20,0,0,8,0
色授魂与誰,363,《全职：给你的爱一直很安静》,连载,8201,2019-04-09 17:32:33,0,3,4,0
艾筱若,466,《[综英美]亲爱的灰先生》,连载,77477,2021-07-21 20:49:45,25,4,6,0
一筐橘子皮,99,《成精后在娱乐圈捉鬼》,连载,201652,2022-03-12 02:45:20,0,7,1,0
崔熙林,75,《爱到灵魂深处》,连载,196889,2021-12-28 17:58:46,30,3,1,1
六乌,104,《全*******怪》,连载,64267,2020-02-29 19:38:20,0,2,5,0
涟漪悠然,28,《花千骨同人之漫如画卷》,连载,100299,2015-11-10 17:18:29,0,0,3,0
妙音悬壶,34,《全世界都知道大神网恋了》,完结,46487,2020-03-09 11:32:21,0,4,1,0
安洛然,8,《住我心上》,连载,9916,2021-09-07 00:00:05,0,1,2,0
樱酪白,1528,《重*******宠》,连载,24674,2021-08-30 11:51:23,0,2,17,1
鱼一卿,47,《春娘的俏郎君》,连载,91621,2020-08-27 09:14:34,0,1,2,0
病名为暴食,26,《我的马甲忽悠全世界》,连载,100342,2021-07-05 07:00:00,0,0,7,0
森夏葵,2817,《白月光替身她不当了》,完结,198299,2021-11-19 22:42:00,362,20,5,2
冬青卫矛,85,《飞升之后》,连载,658959,2022-03-13 00:17:44,80,0,7,0
风前舞,38,《遇见你，爱上你 (原名：爱重生之了然于心)》,连载,324789,2012-07-20 16:11:33,0,1,2,0
尤听,1421,《反派想杀本作者》,完结,453809,2021-11-17 14:01:34,953,4,3,0
木同君,124,《[歌剧魅影]换脸》,连载,144296,2013-09-09 18:00:00,0,0,1,0
墨殛,90,《[全职]荣耀大陆》,连载,34639,2021-11-06 20:53:24,0,8,3,3
君笑归,464,《愿者上钩(GL)》,连载,293433,2020-11-04 23:56:44,0,7,2,0
凌寒宫主,10,《引“郎”入室》,连载,102793,2012-08-01 21:33:22,0,10,1,0
蜘蛛侠的小号,585,《恋爱至上》,完结,116544,2019-03-24 21:43:43,0,5,1,0
烟诗媚行,1040,《[火影]我的养子才不可能那么可爱》,完结,254599,2020-09-16 17:10:58,0,8,28,0
景长暮,16,《[瓶邪]晨雾》,完结,280067,2015-01-26 12:24:12,0,2,0,0
梅话三弄,34,《香蜜同人润玉锦觅之美玉衾寒谁与共》,连载,412371,2022-03-04 11:40:10,0,0,3,0
阿冥娘娘,12,《权相为奸》,连载,180853,2020-06-10 01:58:11,1,1,7,0
鹿切慕溪水,206,《当我成为乙女文妖皇》,连载,265054,2022-03-13 00:32:02,129,1,9,0
春日牡丹,3306,《基建从美食游戏开始》,连载,177290,2022-02-15 10:19:58,0,7,3,0
大当家,48,《放着那个世界我来（快穿）》,连载,37918,2020-05-07 11:48:25,3,3,1,0
鬼仙熊猫子,53,《[全职高手]我待boss如初恋》,连载,191148,2015-05-31 22:52:41,0,0,3,0
酥剪水,23,《一万两送的美艳娘子》,连载,71496,2021-11-23 19:00:00,3,3,2,1
白桃啵啵,1196,《万人嫌备胎是美貌神明[快穿]》,连载,149026,2022-03-13 00:03:07,232,0,4,0
梨沙酱,529,《好好学习，天天恋爱》,连载,72945,2020-06-02 22:54:49,47,56,4,0
路清渊,1188,《[综英美]她来自泰拉瑞亚》,连载,99198,2022-03-13 15:03:53,109,19,26,15
楼笙笙,176,《别拿穿越不当工作》,连载,217931,2009-11-03 18:03:19,0,1,1,0
不落不落,2228,《乾坤日夜浮》,连载,484652,2022-03-13 14:31:19,195,3,7,0
毓樱流樱,138,《盛玥之初Ⅰ》,完结,202264,2011-10-04 20:00:00,0,6,3,0
沫小七,13,《如果没有遇见你》,连载,40626,2016-12-11 15:44:07,0,2,1,1
茶酿,14,《[全职高手]只饶天与无拘束》,完结,715072,2020-09-08 22:17:02,0,4,0,0
魑魅幽冥,620,《[综英美]当铂金遇到双重人格》,连载,29918,2021-08-03 19:00:00,11,5,6,0
整零,74,《世界融合后，首领宰跑路了》,连载,515000,2022-03-13 11:16:03,0,3,2,0
宁辰晞,6,《重生拯救小可怜》,连载,53951,2021-07-18 15:36:28,4,3,3,0
薄荷糖饼,40,《风月准则》,完结,265995,2019-03-09 23:10:56,12,2,3,1
橘真聆,59,《朝阳暖暖》,完结,180265,2016-11-08 10:27:25,0,6,1,0
琉璃夭,138,《从此江湖两白头(歌词集子)》,连载,13193,2021-11-11 22:22:11,0,2,1,0
南风不尽,1520,《给男配发糖（快穿）》,完结,311175,2022-01-05 18:05:11,44,11,9,0
红尘尽处,108,《[综剑三]整个江湖都重生了》,连载,3285,2022-01-05 18:03:47,0,0,33,0
落瓷,40,《不要担心，我是鬼》,连载,33069,2016-01-10 09:00:00,7,4,3,1
六玄令,63,《见鬼巨星》,连载,160338,2014-11-01 11:11:11,0,0,2,2
气灵,27,《我的师傅是起点男主》,连载,111625,2021-02-20 23:27:39,4,0,4,0
红酥手没酒,890,《穿成碰瓷女知青[七零]》,连载,185419,2021-07-14 01:06:18,2817,15,12,0
平林漠漠烟如织,9139,《豫王府的小女官》,完结,352918,2021-04-30 19:36:37,19658,41,6,1
博妹,2079,《将一寸喜欢》,完结,190172,2021-08-07 01:01:26,1268,6,1,0
萌萌果,170,《[网王skip]当杀手成为巨星》,完结,180887,2019-05-24 17:21:14,0,7,2,1
胖死得了,18,《快穿之炮灰逆袭攻略》,连载,11214,2019-08-31 11:24:44,19,0,6,0
尖晶,128,《女帝她人设崩了》,连载,158619,2021-11-12 18:41:14,0,3,8,0
春温一笑,7165,《林家娇女》,完结,931674,2022-03-10 20:08:51,17182,30,5,0
鹤川决,257,《[偶练]春风万里》,连载,37882,2022-01-10 12:33:42,0,0,11,0
冰冰冰冰棒,8,《三生三世同人—桃花雨》,连载,8196,2017-11-07 03:41:28,0,1,2,0
一笑桃花,10,《穿成白富美后小奶狗带着我跑路了》,完结,262791,2021-12-22 19:37:16,0,5,0,0
李轻轻,412,《等春风来》,连载,33088,2020-05-10 02:00:14,273,8,7,3
夏玖伍,175,《帝姬-于你》,连载,2250,2020-08-25 10:33:02,0,29,7,0
微朴,71,《色即是空，空即是色》,暂停,69200,2022-03-13 00:14:09,105,2,12,3
扑倒小攻,269,《我真是个普通人》,连载,5869,2021-11-30 18:00:00,25,9,4,1
提刀篡位,1479,《小美人他苏断腿〔快穿〕》,完结,143013,2022-01-14 18:03:11,662,4,8,0
伊雪梦尘,92,《硬辅也超甜［王者荣耀］》,完结,160085,2020-11-03 09:06:53,129,6,6,1
RP有问题,69,《（*******路》,连载,100463,2011-04-25 19:53:49,0,0,1,0
少音书,897,《死后我成了反派的朱砂痣》,完结,142885,2022-01-27 13:07:23,738,13,6,0
途迷,242,《山海民俗研究院》,完结,314572,2022-02-18 22:03:39,210,7,1,1
淩櫻嬩沫,51,《逗比遇上懵比(薛之谦同人)》,完结,210047,2020-03-15 14:26:21,0,4,1,0
林覆,1419,《捡来的崽崽成影帝了》,完结,114011,2019-10-28 20:27:32,211,9,3,1
关尔小禾,446,《坑二》,连载,143,2022-02-10 18:22:38,141,6,4,0
VII白,11,《［咒术回战］苦夏》,连载,95357,2021-12-08 00:39:21,0,1,2,0
洛千城,48,《姐姐不可以[娱乐圈]》,连载,34712,2020-07-16 14:32:10,0,7,3,1
EGE,24,《觉醒者》,完结,200965,2022-01-06 23:25:17,1,14,15,0
渺缈孤舟客,338,《观《古宅老友记》有感》,完结,30,2022-01-05 21:19:58,0,32,0,0
